,APAC,EMEA,NALA,SUM,Tinder 
2015-01,"4,217","6,922","5,065","16,204",11
2015-02,"115,015","214,456","79,314","408,785",16
2015-03,"219,800","562,035","1,066,517","1,848,352",11
2015-04,"248,516","662,422","1,415,779","2,326,717",5
2015-05,"325,761","859,328","2,005,889","3,190,978",26
2015-06,"354,793","923,136","2,172,874","3,450,803",11
2015-07,"373,615","1,030,912","2,187,011","3,591,538",5
2015-08,"410,376","1,118,034","2,401,600","3,930,010",12
2015-09,"569,067","1,523,865","3,455,440","5,548,372",0
2015-10,"717,117","1,884,913","3,839,477","6,441,507",17
2015-11,"664,444","1,894,438","3,967,859","6,526,741",16
2015-12,"729,850","1,912,092","3,676,738","6,318,680",11
2016-01,"741,240","1,997,469","3,659,085","6,397,794",0
2016-02,"798,023","2,207,649","3,950,965","6,956,637",5
2016-03,"922,720","2,390,147","4,831,493","8,144,360",0
2016-04,"970,083","2,494,149","5,253,195","8,717,427",0
2016-05,"1,013,228","2,685,961","5,744,066","9,443,255",5
2016-06,"1,068,189","2,956,303","6,302,129","10,326,621",11
2016-07,"1,108,243","3,257,367","6,659,469","11,025,079",0
2016-08,"1,243,931","3,426,688","6,672,617","11,343,236",11
2016-09,"1,304,942","3,552,962","6,795,091","11,652,995",17
2016-10,"1,494,125","3,782,740","7,166,051","12,442,916",22
2016-11,"1,616,064","3,989,468","7,185,095","12,790,627",16
2016-12,"1,734,050","4,320,629","7,800,070","13,854,749",16
2017-01,"2,063,768","5,121,506","8,977,451","16,162,725",22
2017-02,"2,182,991","5,467,949","9,008,075","16,659,015",11
2017-03,"2,655,919","6,225,998","9,613,161","18,495,078",0
2017-04,"2,321,238","6,201,202","9,744,868","18,267,308",11
2017-05,"2,290,328","6,510,908","10,301,492","19,102,728",11
2017-06,"2,626,271","7,323,407","11,164,268","21,113,946",5
2017-07,"2,992,245","8,356,221","12,840,281","24,188,747",0
2017-08,"3,169,205","9,633,206","14,813,954","27,616,365",0
2017-09,"4,424,128","12,708,221","20,593,565","37,725,914",17
2017-10,"4,139,692","13,706,309","21,232,598","39,078,599",17
2017-11,"4,466,784","13,372,259","20,783,558","38,622,601",11
2017-12,"4,775,006","13,925,307","21,902,261","40,602,574",12
2018-01,"5,075,169","15,622,808","24,871,705","45,569,682",6
2018-02,"4,768,294","14,447,931","22,410,424","41,626,649",6
2018-03,"5,926,996","16,966,973","26,390,544","49,284,513",6
2018-04,"5,912,960","16,207,877","24,219,911","46,340,748",24
2018-05,"6,029,947","16,715,085","26,089,757","48,834,789",12
2018-06,"6,100,741","16,847,843","26,215,738","49,164,322",6
2018-07,"6,268,920","17,134,618","27,869,644","51,273,182",6
2018-08,"6,565,684","18,523,882","30,470,321","55,559,887",23
2018-09,"6,579,783","17,446,745","29,457,002","53,483,530",29
2018-10,"6,538,328","17,851,422","28,938,803","53,328,553",6
2018-11,"6,468,121","17,937,243","28,202,989","52,608,353",6
2018-12,"7,498,015","18,108,435","32,783,520","58,389,970",6
2019-01,"9,152,290","20,136,728","40,828,973","70,117,991",11
2019-02,"8,001,546","16,626,396","33,881,716","58,509,658",17
2019-03,"9,044,427","19,558,495","40,711,399","69,314,321",33
2019-04,"7,509,332","18,092,624","38,925,994","64,527,950",0
2019-05,"7,859,229","17,766,385","34,163,041","59,788,655",33
2019-06,"7,086,997","16,480,863","27,367,174","50,935,034",5
2019-07,"7,582,261","17,885,768","26,648,588","52,116,617",17
2019-08,"7,858,060","18,790,988","27,602,850","54,251,898",5
2019-09,"7,653,058","18,606,751","26,909,385","53,169,194",5
2019-10,"8,481,369","20,920,794","30,084,033","59,486,196",21
2019-11,"7,976,379","20,508,641","27,459,106","55,944,126",16
2019-12,"8,079,368","19,976,348","27,008,535","55,064,251",0
2020-01,"8,660,162","22,706,334","29,847,267","61,213,763",6
2020-02,"8,049,399","20,545,735","26,991,515","55,586,649",5
2020-03,"7,832,091","20,438,222","28,897,111","57,167,424",15
2020-04,"6,583,202","16,711,257","25,045,505","48,339,964",10
2020-05,"6,833,479","17,126,798","24,925,634","48,885,911",20
2020-06,"6,871,848","17,847,784","26,537,673","51,257,305",5
2020-07,"7,467,591","19,121,900","26,941,518","53,531,009",15
2020-08,"8,059,941","21,928,829","32,077,388","62,066,158",5
2020-09,"8,254,284","22,379,296","31,020,387","61,653,967",15
2020-10,"9,071,102","23,871,893","31,946,418","64,889,413",20
2020-11,"8,833,975","22,730,523","30,101,358","61,665,856",5
2020-12,"8,981,600","23,599,999","28,107,410","60,689,009",0
2021-01,"9,104,780","24,341,941","31,177,515","64,624,236",25
,,,,,0
,,,,,15
,,,,,10
,,,,,20
,,,,,20
,,,,,47
,,,,,25
,,,,,32
,,,,,11
,,,,,22
,,,,,26
,,,,,32
,,,,,21
,,,,,27
,,,,,39
,,,,,27
,,,,,22
,,,,,16
,,,,,26
,,,,,31
,,,,,21
,,,,,16
,,,,,16
,,,,,26
,,,,,26
,,,,,25
,,,,,47
,,,,,36
,,,,,51
,,,,,21
,,,,,35
,,,,,5
,,,,,5
,,,,,29
,,,,,15
,,,,,29
,,,,,25
,,,,,25
,,,,,31
,,,,,17
,,,,,31
,,,,,10
,,,,,19
,,,,,24
,,,,,24
,,,,,48
,,,,,24
,,,,,38
,,,,,33
,,,,,24
,,,,,14
,,,,,38
,,,,,30
,,,,,39
,,,,,14
,,,,,19
,,,,,33
,,,,,34
,,,,,39
,,,,,38
,,,,,34
,,,,,39
,,,,,39
,,,,,33
,,,,,33
,,,,,57
,,,,,24
,,,,,24
,,,,,54
,,,,,34
,,,,,87
,,,,,28
,,,,,24
,,,,,29
,,,,,29
,,,,,33
,,,,,19
,,,,,37
,,,,,51
,,,,,42
,,,,,23
,,,,,58
,,,,,28
,,,,,19
,,,,,56
,,,,,38
,,,,,19
,,,,,42
,,,,,38
,,,,,38
,,,,,29
,,,,,58
,,,,,36
,,,,,52
,,,,,33
,,,,,23
,,,,,28
,,,,,32
,,,,,59
,,,,,60
,,,,,23
,,,,,33
,,,,,23
,,,,,47
,,,,,32
,,,,,42
,,,,,28
,,,,,43
,,,,,38
,,,,,75
,,,,,69
,,,,,38
,,,,,37
,,,,,51
,,,,,73
,,,,,27
,,,,,70
,,,,,28
,,,,,52
,,,,,78
,,,,,85
,,,,,95
,,,,,43
,,,,,53
,,,,,56
,,,,,23
,,,,,32
,,,,,71
,,,,,31
,,,,,35
,,,,,31
,,,,,35
,,,,,57
,,,,,26
,,,,,35
,,,,,47
,,,,,70
,,,,,26
,,,,,56
,,,,,65
,,,,,34
,,,,,48
,,,,,44
,,,,,38
,,,,,74
,,,,,51
,,,,,69
,,,,,33
,,,,,59
,,,,,53
,,,,,33
,,,,,33
,,,,,89
,,,,,67
,,,,,35
,,,,,54
,,,,,75
,,,,,68
,,,,,100
,,,,,64
,,,,,49
,,,,,37
,,,,,52
,,,,,53
,,,,,49
,,,,,50
,,,,,52
,,,,,57
,,,,,80
,,,,,67
,,,,,40
,,,,,63
,,,,,45
,,,,,57
,,,,,79
,,,,,33
,,,,,53
,,,,,36
,,,,,47
,,,,,55
,,,,,63
,,,,,54
,,,,,73
,,,,,28
,,,,,52
,,,,,89
,,,,,55
,,,,,63
,,,,,62
,,,,,53
,,,,,41
,,,,,66
,,,,,41
,,,,,70
,,,,,50
,,,,,36
,,,,,66
